OWNER,VIEW_NAME,TEXT_LENGTH
CISADM,CI_CURRENCY_VW,89
CISADM,CI_CURR_CUST_VW,944
CISADM,CI_DEG_MONTH_VW,239
CISADM,CI_DVTY_CHTY_VW,195
CISADM,CI_FA_ACCT_HST_VW,490
CISADM,CI_FT_GL_XTR_VW,416
CISADM,CI_FT_PROC_VW,95
CISADM,CI_INSTALLATION,1495
CISADM,CI_ITEEVI_SP_VW,215
CISADM,CI_ITEM_CHTY_VW,254
CISADM,CI_ITEM_SP_E_VW,194
CISADM,CI_LOOKUP,287
CISADM,CI_MR_RTEGEN_VW,165
CISADM,CI_MR_STGUP2_VW,139
CISADM,CI_MR_STG_UP_VW,231
CISADM,CI_MR_ST_EXC_VW,645
CISADM,CI_MR_VW,110
CISADM,CI_MTR_CHTY_VW,253
CISADM,CI_MTR_CNFG2_VW,191
CISADM,CI_MTR_CNFG_VW,168
CISADM,CI_NT_UP_EXC_VW,424
CISADM,CI_ODEVTD_ACCHST_VW,461
CISADM,CI_ODEVT_ACCHST_VW,418
CISADM,CI_ODPRC_ACCHST_VW,361
CISADM,CI_OMS_DEVICE_VW,734
CISADM,CI_OMS_FEEDER_VW,734
CISADM,CI_OMS_PHONE_VW,2623
CISADM,CI_OMS_PRIC_VW,893
CISADM,CI_OMS_PRIK_VW,903
CISADM,CI_OMS_PRIM_VW,891
CISADM,CI_PAY_TND_VW,105
CISADM,CI_PAY_VW,86
CISADM,CI_PA_ACCT_HST_VW,508
CISADM,CI_PER_PRIM_VW,97
CISADM,CI_PP_ACCT_HST_VW,504
CISADM,CI_RC_ACCT_HIS_VW,498
CISADM,CI_REGRD_SEL_VW,108
CISADM,CI_ROOT_OBJ_VW,1312
CISADM,CI_RV_BF_RDR_VW,270
CISADM,CI_RV_BF_TXE_VW,273
CISADM,CI_RV_BF_VAL_VW,270
CISADM,CI_SA_IREG_VW,620
CISADM,CI_SA_RDR_VW,289
CISADM,CI_SA_SP_DT_VW,493
CISADM,CI_SA_TXE_VW,289
CISADM,CI_SA_VAL_VW,314
CISADM,CI_SCTY_VAL_VW,201
CISADM,CI_SED_ACCT_HST_VW,679
CISADM,CI_SE_ACCT_HST_VW,615
CISADM,CI_SP_CHTY_VW,271
CISADM,CI_SP_IT_EV_VW,198
CISADM,CI_SP_MTR_EV_VW,237
CISADM,CI_SV_ACCT_HST_VW,440
CISADM,CI_TD_ENTRY_OPEN_VW,5268
CISADM,CI_USR_ACC_GRP_VW,132
CISADM,CI_WE_ACCT_HST_VW,474
CISADM,CI_WO_ACCT_HST_VW,383
CISADM,CMS_ADMIN_CONFIG_VW,108912
CISADM,CMS_C1_PA_RQST_BODA_VW,1964
CISADM,CMS_C1_REPRESENTATIVE_BODA_VW,892
CISADM,CMS_CI_APPR_REQ_BODA_VW,812
CISADM,CMS_CI_CASE_LOG_VW,2371
CISADM,CMS_CI_CASE_VW,2078
CISADM,CMS_CI_TD_ENTRY_CHAR_VW,3022
CISADM,CMS_D1_ACTIVITY_CHAR_VW,809
CISADM,CMS_D1_ACTIVITY_D1FA_BODA_VW,3372
CISADM,CMS_D1_DVC_BODA_VW,487
CISADM,CMS_D1_DVC_CHAR_VW,402
CISADM,CMS_D1_DVC_IDENTIFIER_VW,3778
CISADM,CMS_D1_SP_BODA_VW,1532
CISADM,CMS_NON_INVOICED_USAGE_VW,1586
CISADM,CMS_W1_ASSET_IDENTIFIER_VW,1583
CISADM,D1_ACT_DVC_SP_VW,441
CISADM,D1_BI_DYN_AGG_VW,2717
CISADM,D1_CONTACT_VW,11617
CISADM,D1_DEVICE_VW,29254
CISADM,D1_DVC_SP_VW,583
CISADM,D1_EXT_US_INT_MDS_CONST_VW,5043
CISADM,D1_EXT_US_INT_MDS_MSRMTS_VW,20967
CISADM,D1_EXT_US_SCLR_MDS_CONST_VW,5075
CISADM,D1_EXT_US_SCLR_MDS_MSRMTS_VW,2214
CISADM,D1_INBOUND_COMM_VW,5377
CISADM,D1_INI_CONTACT_VW,155
CISADM,D1_INI_DOE_VW,128
CISADM,D1_INI_DO_VW,125
CISADM,D1_INI_DVC_CFG_VW,150
CISADM,D1_INI_DVC_VW,146
CISADM,D1_INI_IE_VW,148
CISADM,D1_INI_MC_VW,149
CISADM,D1_INI_SP_VW,142
CISADM,D1_INI_US_MKT_PART_VW,132
CISADM,D1_INI_US_VW,142
CISADM,D1_MEASR_COMP_VW,18542
CISADM,D1_ON_CONTACT_VW,130
CISADM,D1_ON_DOE_VW,156
CISADM,D1_ON_DO_VW,144
CISADM,D1_ON_DVC_CFG_VW,150
CISADM,D1_ON_DVC_VW,124
CISADM,D1_ON_IE_VW,152
CISADM,D1_ON_MC_VW,131
CISADM,D1_ON_SP_VW,118
CISADM,D1_ON_US_MKT_PART_VW,118
CISADM,D1_ON_US_VW,115
CISADM,D1_OUTBOUND_COMM_VW,5782
CISADM,D1_SP_VW,19640
CISADM,D1_US_VW,9701
CISADM,D2_MEASR_QTY_AGR_MV,378
CISADM,D2_MEASR_QTY_MV,4245
CISADM,D2_QUALITY_CNT_AGR_MV,377
CISADM,D2_QUALITY_CNT_MV,4471
CISADM,D2_TIMELINESS_CNT_MV,4469
CISADM,D2_TIMELINESS_QTY_MV,4471
CISADM,D2_TIMELINES_CNT_AGR_MV,377
CISADM,D2_TIMELINES_QTY_AGR_MV,378
CISADM,F1_ATTACHMENT_VW,237
CISADM,F1_BATCH_CONF_VW,994
CISADM,F1_BATCH_RUN_HIST_VW,1484
CISADM,F1_BATCH_THD_CAP_VW,3833
CISADM,F1_BATCH_THD_HIST_VW,2139
CISADM,F1_BATCH_VOL_VW,487
CISADM,F1_BO_LIFECYCLE_STATUS_VW,387
CISADM,F1_CAL_FISC_PERIOD_D,371
CISADM,F1_CAL_FISC_QUARTER_D,241
CISADM,F1_CAL_FISC_YEAR_D,121
CISADM,F1_CAL_MONTH_D,307
CISADM,F1_CAL_QUARTER_D,210
CISADM,F1_CAL_WEEK_D,111
CISADM,F1_CAL_YEAR_D,106
CISADM,F1_LCBO_AUTO_ALG_VW,212
CISADM,F1_MENU_APP_SVCS_VW,9586
CISADM,F1_TD_FK_CHAR_ENTRY_VW,304
CISADM,W1_ASSET_CUR_DPOS_VW,473
CISADM,W1_BI_ACTIVITY_VW,11055
CISADM,W1_BI_ASSETACTCOST_VW,39850
CISADM,W1_BI_ASSETCOST_VW,4502
CISADM,W1_BI_ASSET_BN_VW,110
CISADM,W1_BI_ASSET_SN_VW,105
CISADM,W1_BI_ASTAVAILDWNTM_VW,2820
CISADM,W1_BI_ASTAVAILWO_VW,2498
CISADM,W1_BI_FORECASTEDACTHOURS_VW,4919
CISADM,W1_BI_FORECASTEDASSETPMCOST_VW,21074
CISADM,W1_BI_FORECASTEDASSETPMHRS_VW,13832
CISADM,W1_BI_LABORHOURS_VW,7641
CISADM,W1_BI_NODE_HIERARCHY_VW,7261
CISADM,W1_BI_SERVICEHISTORY_VW,1466
CISADM,W1_BI_SPECIFICATION_MODEL_VW,161
CISADM,W1_BI_STOCK_ITEM_DTLS_F_VW,8315
CISADM,W1_BI_STOCK_ITEM_DTL_VW,1993
CISADM,W1_BI_STOCK_ITEM_VW,975
CISADM,W1_BI_STOCK_TRANS_VW,2079
CISADM,W1_BI_STOREROOM_VW,839
CISADM,W1_BI_WO_FINISHDT_VW,117
CISADM,W1_BI_WO_VW,6960
CISADM,W1_INI_ACTIVITY_VW,148
CISADM,W1_INI_ASSET_VW,135
CISADM,W1_INI_CONTACT_VW,137
CISADM,W1_INI_COST_CENTER_VW,131
CISADM,W1_INI_EXPENSE_CODE_VW,152
CISADM,W1_INI_MAINT_SCHEDULE_VW,153
CISADM,W1_INI_NODE_VW,134
CISADM,W1_INI_PLANNER_VW,152
CISADM,W1_INI_PROJECT_VW,148
CISADM,W1_INI_TML_ACTIVITY_VW,151
CISADM,W1_INI_TML_WORK_ORDER_VW,151
CISADM,W1_INI_WORK_LOCATION_VW,152
CISADM,W1_INI_WORK_ORDER_VW,154
CISADM,W1_ON_ASSET_VW,78
CISADM,W1_ON_BLANKET_CONTRACT_LINE_VW,120
CISADM,W1_ON_BLANKET_CONTRACT_VW,136
CISADM,W1_ON_CONTACT_VW,90
CISADM,W1_ON_COST_CENTER_VW,139
CISADM,W1_ON_CRAFT_VW,193
CISADM,W1_ON_EMPLOYEE_VW,89
CISADM,W1_ON_EU_VW,64
CISADM,W1_ON_FINANCIAL_TRANS_VW,113
CISADM,W1_ON_INVOICE_LINE_VW,130
CISADM,W1_ON_INVOICE_VW,151
CISADM,W1_ON_MATERIAL_ISSUE_VW,130
CISADM,W1_ON_MATERIAL_RETURN_LINE_VW,130
CISADM,W1_ON_MATERIAL_RETURN_VW,134
CISADM,W1_ON_NODE_VW,75
CISADM,W1_ON_PURCHASE_ORDER_LINE_VW,120
CISADM,W1_ON_PURCHASE_ORDER_VW,136
CISADM,W1_ON_RECEIPT_LINE_VW,125
CISADM,W1_ON_RECEIPT_VW,134
CISADM,W1_ON_RETURN_LINE_VW,122
CISADM,W1_ON_STOCK_ITEM_DTL_VW,144
CISADM,W1_ON_STOCK_ITEM_VW,134
CISADM,W1_ON_STOCK_TRANS_VW,128
CISADM,W1_ON_VENDOR_LOC_VW,136
CISADM,W1_PARENT_ORG_VW,923
CISADM,X1_BI_ACTIVITY_VW,3212
CISADM,X1_BI_CASE_LOG_VW,1387
CISADM,X1_BI_CASE_VW,776
CISADM,X1_BI_DVC_EVT_VW,1529
CISADM,X1_BI_DVC_INFO_VW,589
CISADM,X1_BI_TD_ENTRY_VW,3787
CISADM,X1_BI_USG_EXCEPTION_VW,2393
CISADM,X1_BI_VEE_EXCEPTION_VW,2317
